_id,Collection unit ID,Department,Division,Section,Collection unit name,Taxon,Taxon rank,Taxon ID,Taxon ID source,Informal taxon,Type collection,Geographic origin,Earliest geological period,Latest geological period,Item type,Preservation method,Curatorial unit type,Bibliographic level,Fond reference,Reporting count,Reporting metric used,Item count,Item count confidence,Curatorial unit count,Curatorial unit count confidence,C1: Physical accessibility,S1: Strategy/mission/research,S2: Scope and depth,S3: Significance by comparison,S4: Usage,I1: Digitisation,I2: Identification,I4: Development potential,O1: Education suitability,O3: Exhibition suitability
8213,2271,Life Sciences,LS Insects,Diptera and Siphonaptera,"Ceratopogonidae (spirit collection, bulk samples & sorted)",Ceratopogonidae,family,2625bb367dfed00059cdcafde3af6395,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,8000,Item count,8000,High,850,High,5,5,2,2,3,1,3.8,3,4,5
8214,2274,Life Sciences,LS Insects,Diptera and Siphonaptera,"Chaoboridae (dry pinned collection, British)",Chaoboridae,family,de3bf3758f82f818fcfebca90b452ba9,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,243,Item count,243,High,243,High,5,5,5,3,3,3,4.9,5,5,5
8215,2275,Life Sciences,LS Insects,Diptera and Siphonaptera,Chaoboridae (dry pinned collection),Chaoboridae,family,de3bf3758f82f818fcfebca90b452ba9,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,645,Item count,645,High,645,High,5,5,4,4,3,1.02,3.2,5,5,5
8216,2277,Life Sciences,LS Insects,Diptera and Siphonaptera,"Chironomidae (dry pinned collection, British)",Chironomidae,family,df82bd09428672183007dc400917c267,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,9750,Item count,9750,Medium,9750,Medium,5,5,4,3,3,1,3.34,5,5,5
8217,2278,Life Sciences,LS Insects,Diptera and Siphonaptera,Chironomidae (dry pinned collection),Chironomidae,family,df82bd09428672183007dc400917c267,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,24250,Item count,24250,Medium,24250,Medium,5,5,1,3,3,1.06,2.7,5,5,5
8218,2280,Life Sciences,LS Insects,Diptera and Siphonaptera,"Culicidae (dry pinned collection, British)",Culicidae,family,6cc7b76aa75093fe5692ef81717f1519,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,2886,Item count,2886,Precise,2886,Precise,5,5,4,2,5,4.05,3.78,5,5,5
8219,2281,Life Sciences,LS Insects,Diptera and Siphonaptera,Culicidae (dry pinned collection),Culicidae,family,6cc7b76aa75093fe5692ef81717f1519,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,56950,Item count,56950,Medium,56950,Medium,4.8,5,4,4,5,1.5,4.39,5,3,3
8220,2283,Life Sciences,LS Insects,Diptera and Siphonaptera,Culicidae (slide collection),Culicidae,family,6cc7b76aa75093fe5692ef81717f1519,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,11500,Item count,11500,Medium,11500,Medium,4.05,5,4,4,5,1.5,3,5,5,3
8221,2284,Life Sciences,LS Insects,Diptera and Siphonaptera,"Culicidae (spirit collection, bulk samples & sorted)",Culicidae,family,6cc7b76aa75093fe5692ef81717f1519,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,40000,Item count,40000,Medium,6400,Medium,4,5,4,3,5,1,2.2,5,4.2,4.8
8222,2286,Life Sciences,LS Insects,Diptera and Siphonaptera,Culicidae (SEM stubs),Culicidae,family,6cc7b76aa75093fe5692ef81717f1519,Catalogue of Life 2017,,,,,,Partial organism,Sem stubs,Preparation - SEM stub,,,217,Item count,217,Precise,217,Precise,5,5,1,1,2,1,5,5,5,5
8223,2289,Life Sciences,LS Insects,Diptera and Siphonaptera,"Cylindrotomidae (dry pinned collection, British)",Cylindrotomidae,family,662539a1eb804a2912118beaadb15c56,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,50,Item count,50,High,50,High,5,5,5,3,3,1,5,5,5,5
8224,2290,Life Sciences,LS Insects,Diptera and Siphonaptera,Cylindrotomidae (dry pinned collection),Cylindrotomidae,family,662539a1eb804a2912118beaadb15c56,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,125,Item count,125,High,125,High,5,5,2,2,3,1.34,4,5,5,5
8225,2292,Life Sciences,LS Insects,Diptera and Siphonaptera,Deuterophlebiidae (dry pinned collection),Deuterophlebiidae,family,840aa5a7364dbebd7f20ab2635148131,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,50,Item count,50,High,50,High,5,5,2,2,3,1,4.75,5,5,5
8226,2293,Life Sciences,LS Insects,Diptera and Siphonaptera,"Dixidae (dry pinned collection, British)",Dixidae,family,0c1147e19b87b7ec4fc6915b7c60619d,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,200,Item count,200,High,200,High,5,5,5,3,3,1,4.9,5,5,5
8227,2294,Life Sciences,LS Insects,Diptera and Siphonaptera,Dixidae (dry pinned collection),Dixidae,family,0c1147e19b87b7ec4fc6915b7c60619d,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,750,Item count,750,High,750,High,5,5,3,3,3,1.04,3.6,5,5,5
8228,2296,Life Sciences,LS Insects,Diptera and Siphonaptera,"Limoniidae (dry pinned collection, British)",Limoniidae,family,1cfe54200df99eea024dd2b1bb21589b,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,7050,Item count,7050,Medium,7050,Medium,5,5,5,4,3,1,4.32,5,5,5
8229,2297,Life Sciences,LS Insects,Diptera and Siphonaptera,Limoniidae (dry pinned collection),Limoniidae,family,1cfe54200df99eea024dd2b1bb21589b,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,27835,Item count,27835,Medium,27835,Medium,5,5,1,3,3,1.26,3.2,5,5,5
8230,2299,Life Sciences,LS Insects,Diptera and Siphonaptera,"Mycetophilidae (dry pinned collection, British)",Mycetophilidae,family,d9c333df9eaba195d8c0c9c65a039027,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,11500,Item count,11500,Medium,11500,Medium,4,5,5,5,4,1,4.64,5,5,5
8231,2300,Life Sciences,LS Insects,Diptera and Siphonaptera,Mycetophilidae (dry pinned collection),Mycetophilidae,family,d9c333df9eaba195d8c0c9c65a039027,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,32000,Item count,32000,Medium,32000,Medium,4,5,3,4,4,1.3,3.47,5,4.2,4.2
8232,2302,Life Sciences,LS Insects,Diptera and Siphonaptera,Mycetophilidae (slide collection),Mycetophilidae,family,d9c333df9eaba195d8c0c9c65a039027,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,503,Item count,503,Precise,503,Precise,4,5,2,4,3,1.03,5,5,4.2,4.8
8233,2303,Life Sciences,LS Insects,Diptera and Siphonaptera,"Mycetophilidae (spirit collection, bulk samples & sorted)",Mycetophilidae,family,d9c333df9eaba195d8c0c9c65a039027,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,5000,Item count,5000,Medium,870,Medium,4,5,4,4,5,1,3.7,5,4.2,3
8234,2305,Life Sciences,LS Insects,Diptera and Siphonaptera,Nymphomyiidae (dry pinned collection),Nymphomyiidae,family,4a89445292a9e7c401f96cc2ea1c8827,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,12,Item count,12,High,12,High,5,5,1,1,3,1,4,5,5,5
8235,2306,Life Sciences,LS Insects,Diptera and Siphonaptera,Pachyneuridae (dry pinned collection),Pachyneuridae,family,591228a89e8d9953644d76a7d43db3c5,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,13,Item count,13,High,13,High,5,5,3,2,3,1,4,5,5,5
8236,2307,Life Sciences,LS Insects,Diptera and Siphonaptera,"Pediciidae (dry pinned collection, British)",Pediciidae,family,49ebacfe37897ee0364f072d182fd3b4,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,650,Item count,650,High,650,High,5,5,5,4,3,1,4.95,5,5,5
8237,2308,Life Sciences,LS Insects,Diptera and Siphonaptera,Pediciidae (dry pinned collection),Pediciidae,family,49ebacfe37897ee0364f072d182fd3b4,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,880,Item count,880,High,880,High,5,5,1,3,3,1.1,4.4,5,5,5
8238,2310,Life Sciences,LS Insects,Diptera and Siphonaptera,Perissommatidae (dry pinned collection),Perissommatidae,family,943372f3b379e68e649882dadd9778c7,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,8,Item count,8,High,8,High,5,5,1,2,3,1,4,5,5,5
8239,2311,Life Sciences,LS Insects,Diptera and Siphonaptera,Psychodidae (Phlebotominae) (dry pinned collection),Phlebotominae ,subfamily,007373410939d18dfaec07f861333ec2,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,478,Item count,478,Precise,478,Precise,5,5,1,1,2,1,4,5,4,5
8240,2313,Life Sciences,LS Insects,Diptera and Siphonaptera,Psychodidae (Phlebotominae) (slide collection),Phlebotominae ,subfamily,007373410939d18dfaec07f861333ec2,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,31500,Item count,31500,High,31500,High,5,5,5,4,3,1.04,4.6,5,4,5
8241,2314,Life Sciences,LS Insects,Diptera and Siphonaptera,"Psychodidae (Phlebotominae) (spirit collection, bulk samples & sorted)",Phlebotominae ,subfamily,007373410939d18dfaec07f861333ec2,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,4000,Item count,4000,High,196,High,5,5,1,1,2,1,2,3,4,5
8242,2315,Life Sciences,LS Insects,Diptera and Siphonaptera,Psychodidae (Phlebotominae) (models),Phlebotominae ,subfamily,007373410939d18dfaec07f861333ec2,Catalogue of Life 2017,,,,,,Artefacts,Other,Models,,,3,Item count,3,Precise,3,Precise,4,5,1,1,1,1,1,1,5,5
8243,2316,Life Sciences,LS Insects,Diptera and Siphonaptera,"Psychodidae (Psychodinae) (dry pinned collection, British)",Psychodinae,Subfamily,007373410939d18dfaec07f861333ec2,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,1650,Item count,1650,Medium,1650,Medium,5,5,4,3,3,1.06,2.17,5,5,5
8244,2317,Life Sciences,LS Insects,Diptera and Siphonaptera,Psychodidae (Psychodinae) (dry pinned collection),Psychodinae,Subfamily,007373410939d18dfaec07f861333ec2,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,5175,Item count,5175,Medium,5175,Medium,5,5,1,2,3,1,2.5,5,5,5
8245,2319,Life Sciences,LS Insects,Diptera and Siphonaptera,"Ptychopteridae (dry pinned collection, British)",Ptychopteridae,family,cf377d5df6e4dd8e0eff6ce8446e6f53,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,375,Item count,375,High,375,High,5,5,5,4,3,1,4,5,5,5
8246,2320,Life Sciences,LS Insects,Diptera and Siphonaptera,Ptychopteridae (dry pinned collection),Ptychopteridae,family,cf377d5df6e4dd8e0eff6ce8446e6f53,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,325,Item count,325,High,325,High,5,5,2,2,3,1.02,3.4,5,5,5
8247,2322,Life Sciences,LS Insects,Diptera and Siphonaptera,"Scatopsidae (dry pinned collection, British)",Scatopsidae,family,cc6daeb70f889c4132631bf4f8d2eabc,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,850,Item count,850,High,850,High,5,5,5,4,3,1,3.46,5,5,5
8248,2323,Life Sciences,LS Insects,Diptera and Siphonaptera,Scatopsidae (dry pinned collection),Scatopsidae,family,cc6daeb70f889c4132631bf4f8d2eabc,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,1050,Item count,1050,Medium,1050,Medium,5,5,2,3,3,1.62,4.35,5,5,5
8249,2325,Life Sciences,LS Insects,Diptera and Siphonaptera,"Sciaridae (dry pinned collection, British)",Sciaridae,family,0278511e941bdb3bdd417ed59b390b8b,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,3850,Item count,3850,Medium,3850,Medium,5,5,2,3,3,1,3.07,5,5,5
8250,2326,Life Sciences,LS Insects,Diptera and Siphonaptera,Sciaridae (dry pinned collection),Sciaridae,family,0278511e941bdb3bdd417ed59b390b8b,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,12050,Item count,12050,Medium,12050,Medium,4,5,1,3,3,1.16,1.56,5,5,5
8251,2328,Life Sciences,LS Insects,Diptera and Siphonaptera,"Simuliidae (dry pinned collection, British)",Simuliidae,family,5b63b5713503a33bac8ff3e00b682398,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,3750,Item count,3750,High,3750,High,5,5,5,5,3,1,5,5,4,5
8252,2329,Life Sciences,LS Insects,Diptera and Siphonaptera,Simuliidae (dry pinned collection),Simuliidae,family,5b63b5713503a33bac8ff3e00b682398,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,36200,Item count,36200,High,36200,High,5,5,4,4,3,1,4.6,5,4,5
8253,2331,Life Sciences,LS Insects,Diptera and Siphonaptera,Simuliidae (slide collection),Simuliidae,family,5b63b5713503a33bac8ff3e00b682398,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,10300,Item count,10300,High,10300,High,4,5,4,4,3,1,5,5,4,5
8254,2332,Life Sciences,LS Insects,Diptera and Siphonaptera,"Simuliidae (spirit collection, bulk samples & sorted)",Simuliidae,family,5b63b5713503a33bac8ff3e00b682398,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,430000,Item count,430000,High,14900,High,5,5,4,4,3,1,5,5,4,5
8255,2335,Life Sciences,LS Insects,Diptera and Siphonaptera,Synneuridae (dry pinned collection),Synneuridae ,family,c0368103a34a0849070e9085dd0076cc,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,3,Item count,3,High,3,High,5,5,1,1,3,3,5,5,5,5
8256,2336,Life Sciences,LS Insects,Diptera and Siphonaptera,Tanyderidae (dry pinned collection),Tanyderidae,family,ea7592ce425c9c9791e824cc17ce8a11,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,5,Item count,5,High,5,High,5,5,1,1,3,1,4.8,5,5,5
8257,2337,Life Sciences,LS Insects,Diptera and Siphonaptera,"Thaumaleidae (dry pinned collection, British)",Thaumaleidae,family,4009a894a4d8842a1dbdea5cf0e79b5c,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,200,Item count,200,High,200,High,5,5,5,5,3,1,4.8,5,5,5
8258,2338,Life Sciences,LS Insects,Diptera and Siphonaptera,Thaumaleidae (dry pinned collection),Thaumaleidae,family,4009a894a4d8842a1dbdea5cf0e79b5c,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,200,Item count,200,High,200,High,5,5,1,3,3,1.36,4.35,5,5,5
8259,2340,Life Sciences,LS Insects,Diptera and Siphonaptera,"Tipulidae (dry pinned collection, British)",Tipulidae,family,70c59cfd36cef986baed049d0d8d674f,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,3850,Item count,3850,Medium,3850,Medium,4,5,5,4,3,1,4.09,5,5,5
8260,2341,Life Sciences,LS Insects,Diptera and Siphonaptera,Tipulidae (dry pinned collection),Tipulidae,family,70c59cfd36cef986baed049d0d8d674f,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,10900,Item count,10900,Medium,10900,Medium,4,5,3,3,3,1.26,4.19,5,5,5
8261,2343,Life Sciences,LS Insects,Diptera and Siphonaptera,"Trichoceridae (dry pinned collection, British)",Trichoceridae,family,a85c0d9e9223a8f6e426a63829c84eba,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,700,Item count,700,High,700,High,5,5,5,3,3,1,4,5,5,5
8262,2344,Life Sciences,LS Insects,Diptera and Siphonaptera,Trichoceridae (dry pinned collection),Trichoceridae,family,a85c0d9e9223a8f6e426a63829c84eba,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,545,Item count,545,High,545,High,5,5,2,3,3,1.08,4.6,5,5,5
8263,2347,Life Sciences,LS Insects,Diptera and Siphonaptera,"Acroceridae (dry pinned collection, British)",Acroceridae,family,6a9b26f9d5b5efced0386be2b23763db,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,286,Item count,286,Precise,286,Precise,3,5,4,4,4,4,4,5,5,5
8264,2348,Life Sciences,LS Insects,Diptera and Siphonaptera,Acroceridae (dry pinned collection),Acroceridae,family,6a9b26f9d5b5efced0386be2b23763db,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,712,Item count,712,Precise,712,Precise,5,5,5,5,4,1.3,5,5,4.2,4.2
8265,2350,Life Sciences,LS Insects,Diptera and Siphonaptera,Acroceridae (slide collection),Acroceridae,family,6a9b26f9d5b5efced0386be2b23763db,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,12,Item count,12,Precise,12,Precise,4,5,1,2,2,1,4,5,5,5
8266,2351,Life Sciences,LS Insects,Diptera and Siphonaptera,"Acroceridae (spirit collection, bulk samples & sorted)",Acroceridae,family,6a9b26f9d5b5efced0386be2b23763db,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,10,Item count,10,High,5,High,5,5,4,4,2,1,4,5,5,5
8267,2352,Life Sciences,LS Insects,Diptera and Siphonaptera,Apioceridae (dry pinned collection),Apioceridae,family,f69f44cb6b2b5ef98e29788638bd4758,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,195,Item count,195,Precise,195,Precise,4,5,3,4,3,1,4,5,4.2,4.2
8268,2361,Life Sciences,LS Insects,Diptera and Siphonaptera,"Asilidae (dry pinned collection, British)",Asilidae,family,816448bac24f92fcbada5fc929963c1e,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,3324,Item count,3324,Precise,3324,Precise,5,5,5,4,5,2.5,5,5,5,5
8269,2362,Life Sciences,LS Insects,Diptera and Siphonaptera,Asilidae (dry pinned collection),Asilidae,family,816448bac24f92fcbada5fc929963c1e,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,54000,Item count,54000,Medium,54000,Medium,4.2,5,4,4,5,1.3,4,5,4.2,4.2
8270,2364,Life Sciences,LS Insects,Diptera and Siphonaptera,Asilidae (slide collection),Asilidae,family,816448bac24f92fcbada5fc929963c1e,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,107,Item count,107,Precise,107,Precise,5,5,1,4,2,1,4,5,5,5
8271,2365,Life Sciences,LS Insects,Diptera and Siphonaptera,"Asilidae (spirit collection, bulk samples & sorted)",Asilidae,family,816448bac24f92fcbada5fc929963c1e,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,100,Item count,100,High,26,High,5,5,3,4,2,1,4,5,5,5
8272,2366,Life Sciences,LS Insects,Diptera and Siphonaptera,"Athericidae (dry pinned collection, British)",Athericidae,family,4b6288037f734d071c58d9d2c11bf317,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,211,Item count,211,Precise,211,Precise,4,5,4,4,3,5,5,5,5,5
8273,2367,Life Sciences,LS Insects,Diptera and Siphonaptera,Athericidae (dry pinned collection),Athericidae,family,4b6288037f734d071c58d9d2c11bf317,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,365,Item count,365,Precise,365,Precise,4,5,4,4,3,1.3,3.67,5,4.2,4.2
8274,2369,Life Sciences,LS Insects,Diptera and Siphonaptera,Athericidae (slide collection),Athericidae,family,4b6288037f734d071c58d9d2c11bf317,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,1,Item count,1,Precise,1,Precise,5,5,1,1,2,1,5,5,5,5
8275,2370,Life Sciences,LS Insects,Diptera and Siphonaptera,"Athericidae (spirit collection, bulk samples & sorted)",Athericidae,family,4b6288037f734d071c58d9d2c11bf317,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,10,Item count,10,High,9,Precise,5,5,3,3,2,1,4,5,5,5
8276,2376,Life Sciences,LS Insects,Diptera and Siphonaptera,"Bombyliidae (dry pinned collection, British)",Bombyliidae,family,6d394757897b69affc5a979d32c6b854,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,883,Item count,883,Precise,883,Precise,4,5,5,4,3.1,5,5,5,5,5
8277,2377,Life Sciences,LS Insects,Diptera and Siphonaptera,Bombyliidae (dry pinned collection),Bombyliidae,family,6d394757897b69affc5a979d32c6b854,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,36500,Item count,36500,Medium,36500,Medium,4.64,5,5,5,5,1.3,3.7,5,4.2,4.2
8278,2379,Life Sciences,LS Insects,Diptera and Siphonaptera,Bombyliidae (slide collection),Bombyliidae,family,6d394757897b69affc5a979d32c6b854,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,117,Item count,117,Precise,117,Precise,4,5,1,1,2,1,4,5,5,5
8279,2380,Life Sciences,LS Insects,Diptera and Siphonaptera,"Bombyliidae (spirit collection, bulk samples & sorted)",Bombyliidae,family,6d394757897b69affc5a979d32c6b854,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,200,Item count,200,Medium,35,High,5,5,4,4,2,1,4,5,5,5
8280,2381,Life Sciences,LS Insects,Diptera and Siphonaptera,Cramptonomyiidae (dry pinned collection),Cramptonomyiidae,family,591228a89e8d9953644d76a7d43db3c5,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,14,Item count,14,High,14,High,5,5,2,2,3,1,4.44,5,5,5
8281,2382,Life Sciences,LS Insects,Diptera and Siphonaptera,Hilarimorphidae (dry pinned collection),Hilarimorphidae,family,a2a93e80ed3f4aa0942d38f841e0dcf0,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,1,Item count,1,Precise,1,Precise,5,5,2,4,3,1,5,5,1,1
8282,2383,Life Sciences,LS Insects,Diptera and Siphonaptera,Mydidae (dry pinned collection),Mydidae,family,e60cbdf4b048f8f2e1947ed8308819b8,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,979,Item count,979,Precise,979,Precise,5,5,4,4,5,5,3.9,5,4.2,4.2
8283,2384,Life Sciences,LS Insects,Diptera and Siphonaptera,Mydidae (slide collection),Mydidae,family,e60cbdf4b048f8f2e1947ed8308819b8,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,4,Item count,4,Precise,4,Precise,5,5,1,1,2,1,5,5,5,5
8284,2385,Life Sciences,LS Insects,Diptera and Siphonaptera,"Mydidae (spirit collection, bulk samples & sorted)",Mydidae,family,e60cbdf4b048f8f2e1947ed8308819b8,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,1,Item count,1,High,1,Precise,5,5,1,1,2,1,5,5,5,1
8285,2391,Life Sciences,LS Insects,Diptera and Siphonaptera,Nemestrinidae (dry pinned collection),Nemestrinidae,family,d59f572142d2061b316c923940bb292f,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,1177,Item count,1177,Precise,1177,Precise,4,5,5,4,4,1.3,3.76,5,5,5
8286,2392,Life Sciences,LS Insects,Diptera and Siphonaptera,Panthophthalmidae (dry pinned collection),Pantophthalmidae,family,a2c3dd240fda8fe84bcce55b39fe9fec,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,140,Item count,140,Precise,140,Precise,5,5,5,4,3,1.3,5,5,4.2,4.2
8287,2393,Life Sciences,LS Insects,Diptera and Siphonaptera,"Panthophthalmidae (spirit collection, bulk samples & sorted)",Pantophthalmidae,family,a2c3dd240fda8fe84bcce55b39fe9fec,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,20,Item count,20,High,7,Precise,5,5,1,2,2,1,4,5,5,5
8288,2394,Life Sciences,LS Insects,Diptera and Siphonaptera,"Rhagionidae (dry pinned collection, British)",Rhagionidae,family,b5bd018910f9949affb2a5a9ab342a7d,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,1444,Item count,1444,Precise,1444,Precise,4,5,4,4,3,1,4,5,5,5
8289,2395,Life Sciences,LS Insects,Diptera and Siphonaptera,Rhagionidae (dry pinned collection),Rhagionidae,family,b5bd018910f9949affb2a5a9ab342a7d,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,3422,Item count,3422,Precise,3422,Precise,4,5,2,4,3,1.3,4,5,4.2,4.2
8290,2397,Life Sciences,LS Insects,Diptera and Siphonaptera,Rhagionidae (slide collection),Rhagionidae,family,b5bd018910f9949affb2a5a9ab342a7d,Catalogue of Life 2017,,,,,,Whole or partial organism,Microscope slide,Preparation - slide,,,29,Item count,29,Precise,29,Precise,4,5,1,1,2,1,4,5,5,5
8291,2398,Life Sciences,LS Insects,Diptera and Siphonaptera,"Rhagionidae (spirit collection, bulk samples & sorted)",Rhagionidae,family,b5bd018910f9949affb2a5a9ab342a7d,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,28,Item count,28,High,10,Precise,5,5,1,2,2,1,4,5,5,5
8292,2399,Life Sciences,LS Insects,Diptera and Siphonaptera,"Scenopinidae (dry pinned collection, British)",Scenopinidae,family,f386a91ee66f44cd9136b242589705a5,Catalogue of Life 2017,,,Europe,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,247,Item count,247,Precise,247,Precise,5,5,4,4,3,5,5,5,5,5
8293,2400,Life Sciences,LS Insects,Diptera and Siphonaptera,Scenopinidae (dry pinned collection),Scenopinidae,family,f386a91ee66f44cd9136b242589705a5,Catalogue of Life 2017,,,,,,Whole organisms,Dry pinned,Whole organisms - dry pinned,,,1336,Item count,1336,Precise,1336,Precise,4,5,2,2,3,1.3,4,5,4.2,4.2
8294,2403,Life Sciences,LS Insects,Diptera and Siphonaptera,"Scenopinidae (spirit collection, bulk samples & sorted)",Scenopinidae,family,f386a91ee66f44cd9136b242589705a5,Catalogue of Life 2017,,,,,,Whole or partial organism,Alcohol,Spirit,,,30,Item count,30,High,1,Precise,5,5,1,2,2,1,3,5,5,1
